Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,ignore
2017-08-16 19:00:00,4261.48,4485.39,4200.74,4285.08,795.150377,1503014399999.0,3454770.05073206,3427.0,616.248541,2678216.40060401,8733.91139481
2017-08-17 19:00:00,4285.08,4371.52,3938.77,4108.37,1199.888264,1503100799999.0,5086958.30617151,5233.0,972.86871,4129123.31651808,9384.14140858
2017-08-18 19:00:00,4108.37,4184.69,3850.0,4139.98,381.309763,1503187199999.0,1549483.73542151,2153.0,274.336042,1118001.87008735,9184.08552906
2017-08-19 19:00:00,4120.98,4211.08,4032.62,4086.29,467.083022,1503273599999.0,1930364.39032646,2321.0,376.795947,1557401.3337373,10125.41408414
2017-08-20 19:00:00,4069.13,4119.62,3911.79,4016.0,691.74306,1503359999999.0,2797231.71402728,3972.0,557.356107,2255662.55315837,11706.76997007
2017-08-21 19:00:00,4016.0,4104.82,3400.0,4040.0,966.684858,1503446399999.0,3752505.77214051,6494.0,423.995181,1637188.36934226,11773.27950025
2017-08-22 19:00:00,4040.0,4265.8,4013.89,4114.01,1001.136565,1503532799999.0,4148686.46581968,8629.0,309.419092,1293567.09519463,12724.37533462
2017-08-23 19:00:00,4147.0,4371.68,4085.01,4316.01,787.418753,1503619199999.0,3296476.41316476,6247.0,206.820412,868379.0641312,14231.32630532
2017-08-24 19:00:00,4316.01,4453.91,4247.48,4280.68,573.61274,1503705599999.0,2484637.34936327,6554.0,100.097974,434577.13574645,12945.43630782
2017-08-25 19:00:00,4280.71,4367.0,4212.41,4337.44,228.108068,1503791999999.0,977865.7333321,2260.0,56.190141,241363.80050245,11789.06750167
2017-08-26 19:00:00,4332.51,4400.0,4285.54,4310.01,350.692585,1503878399999.0,1521580.06202557,3670.0,101.651358,442442.17937215,11456.95307303
2017-08-27 19:00:00,4310.01,4399.82,4124.54,4386.69,603.841616,1503964799999.0,2591660.52579953,4349.0,142.787782,612364.20611134,11075.45841897
2017-08-28 19:00:00,4353.65,4625.85,4313.55,4587.48,603.545028,1504051199999.0,2682483.73582991,4159.0,143.442567,641982.02068658,11050.54761867
2017-08-29 19:00:00,4564.52,4647.51,4416.01,4555.14,808.468771,1504137599999.0,3683714.68666123,5551.0,196.062252,894620.23750883,11438.9152736
2017-08-30 19:00:00,4555.14,4745.42,4555.14,4724.89,556.956802,1504223999999.0,2579878.72401184,4161.0,131.947325,614342.53390234,10779.83873125
2017-08-31 19:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,1504310399999.0,2665165.55924616,4000.0,118.660103,566254.43089734,10906.14445652
2017-09-01 19:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,1504396799999.0,4257723.944817,7475.0,379.199863,1738334.08541735,11416.45790779
2017-09-02 19:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,1504483199999.0,3121052.75230181,6022.0,258.934536,1169644.69159694,12653.02927308
2017-09-03 19:00:00,4505.0,4527.49,3972.51,4100.11,1394.644614,1504569599999.0,5909947.49008974,9317.0,578.600851,2460362.61291664,11672.89407588
2017-09-04 19:00:00,4106.97,4484.99,3603.0,4366.47,1228.938157,1504655999999.0,5083453.18675071,10084.0,533.476065,2214297.83961246,11938.20199421
2017-09-05 19:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,1504742399999.0,3626346.05544323,7956.0,422.923063,1903231.7409154,11138.37278647
2017-09-06 19:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,1504828799999.0,2305795.13638315,3070.0,240.683949,1111299.24357466,11536.41291735
2017-09-07 19:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,1504915199999.0,4866527.22639337,4733.0,465.962119,2004277.28941755,11115.57334676
